Date,Value1,Value2
2013-06-01 00,1,0.0
2013-06-01 01,0,0.0
2013-06-01 02,2,0.0
2013-06-01 03,0,0.0
2013-06-01 04,0,0.0
2013-06-01 05,0,0.0
2013-06-01 06,0,1.0
2013-06-01 07,1,0.0
2013-06-01 08,1,2.0
2013-06-01 09,1,4.0
2013-06-01 10,3,6.0
2013-06-01 11,4,9.0
2013-06-01 12,8,10.0
2013-06-01 13,11,2.0
2013-06-01 14,7,16.0
2013-06-01 15,5,12.0
2013-06-01 16,5,15.0
2013-06-01 17,11,14.0
2013-06-01 18,8,5.0
2013-06-01 19,9,7.0
2013-06-01 20,6,9.0
2013-06-01 21,7,3.0
2013-06-01 22,5,2.0
2013-06-01 23,2,2.0
2013-06-02 00,4,0.0
2013-06-02 01,3,4.0
2013-06-02 02,0,0.0
2013-06-02 03,0,2.0
2013-06-02 04,1,0.0
2013-06-02 05,0,0.0
2013-06-02 06,0,4.0
2013-06-02 07,0,3.0
2013-06-02 08,2,0.0
2013-06-02 09,0,4.0
2013-06-02 10,8,5.0
2013-06-02 11,14,21.0
2013-06-02 12,14,36.0
2013-06-02 13,17,23.0
2013-06-02 14,13,33.0
2013-06-02 15,19,14.0
2013-06-02 16,17,28.0
2013-06-02 17,17,19.0
2013-06-02 18,12,9.0
2013-06-02 19,11,11.0
2013-06-02 20,13,8.0
2013-06-02 21,4,11.0
2013-06-02 22,1,3.0
2013-06-02 23,0,0.0
2013-06-03 00,2,0.0
2013-06-03 01,0,1.0
2013-06-03 02,0,0.0
2013-06-03 03,0,0.0
2013-06-03 04,0,0.0
2013-06-03 05,0,0.0
2013-06-03 06,2,0.0
2013-06-03 07,1,0.0
2013-06-03 08,1,0.0
2013-06-03 09,0,2.0
2013-06-03 10,2,5.0
2013-06-03 11,0,9.0
2013-06-03 12,6,11.0
2013-06-03 13,5,4.0
2013-06-03 14,1,10.0
2013-06-03 15,9,7.0
2013-06-03 16,7,2.0
2013-06-03 17,9,6.0
2013-06-03 18,14,6.0
2013-06-03 19,10,7.0
2013-06-03 20,15,4.0
2013-06-03 21,5,3.0
2013-06-03 22,5,1.0
2013-06-03 23,6,1.0
2013-06-04 00,1,1.0
2013-06-04 01,0,0.0
2013-06-04 02,0,0.0
2013-06-04 03,0,0.0
2013-06-04 04,0,0.0
2013-06-04 05,0,0.0
2013-06-04 06,1,1.0
2013-06-04 07,1,0.0
2013-06-04 08,10,4.0
2013-06-04 09,8,5.0
2013-06-04 10,10,5.0
2013-06-04 11,5,16.0
2013-06-04 12,12,3.0
2013-06-04 13,12,13.0
2013-06-04 14,5,7.0
2013-06-04 15,5,12.0
2013-06-04 16,12,8.0
2013-06-04 17,11,7.0
2013-06-04 18,19,31.0
2013-06-04 19,12,14.0
2013-06-04 20,7,6.0
2013-06-04 21,11,4.0
2013-06-04 22,6,4.0
2013-06-04 23,4,4.0
2013-06-05 00,2,1.0
2013-06-05 01,1,0.0
2013-06-05 02,1,0.0
2013-06-05 03,1,0.0
2013-06-05 04,0,0.0
2013-06-05 05,0,0.0
2013-06-05 06,4,1.0
2013-06-05 07,3,2.0
2013-06-05 08,9,2.0
2013-06-05 09,8,11.0
2013-06-05 10,6,9.0
2013-06-05 11,5,10.0
2013-06-05 12,12,7.0
2013-06-05 13,10,6.0
2013-06-05 14,3,9.0
2013-06-05 15,9,15.0
2013-06-05 16,9,9.0
2013-06-05 17,13,14.0
2013-06-05 18,16,19.0
2013-06-05 19,9,10.0
2013-06-05 20,11,23.0
2013-06-05 21,9,2.0
2013-06-05 22,6,0.0
2013-06-05 23,1,0.0
2013-06-06 00,1,0.0
2013-06-06 01,1,0.0
2013-06-06 02,0,0.0
2013-06-06 03,0,0.0
2013-06-06 04,0,0.0
2013-06-06 05,1,0.0
2013-06-06 06,0,1.0
2013-06-06 07,1,0.0
2013-06-06 08,6,0.0
2013-06-06 09,8,1.0
2013-06-06 10,7,5.0
2013-06-06 11,3,6.0
2013-06-06 12,5,9.0
2013-06-06 13,9,13.0
2013-06-06 14,13,10.0
2013-06-06 15,11,8.0
2013-06-06 16,5,13.0
2013-06-06 17,11,16.0
2013-06-06 18,15,12.0
2013-06-06 19,10,10.0
2013-06-06 20,7,1.0
2013-06-06 21,4,1.0
2013-06-06 22,1,0.0
2013-06-06 23,1,0.0
2013-06-07 00,0,0.0
2013-06-07 01,0,3.0
2013-06-07 02,1,0.0
2013-06-07 03,0,0.0
2013-06-07 04,0,0.0
2013-06-07 05,0,0.0
2013-06-07 06,0,0.0
2013-06-07 07,1,0.0
2013-06-07 08,2,1.0
2013-06-07 09,0,0.0
2013-06-07 10,1,0.0
2013-06-07 11,0,0.0
2013-06-07 12,1,0.0
2013-06-07 13,0,0.0
2013-06-07 14,1,0.0
2013-06-07 15,1,0.0
2013-06-07 16,0,0.0
2013-06-07 17,1,0.0
2013-06-07 18,0,0.0
2013-06-07 19,0,0.0
2013-06-07 20,1,0.0
2013-06-07 21,0,0.0
2013-06-07 22,0,0.0
2013-06-07 23,1,0.0
2013-06-08 00,0,0.0
2013-06-08 01,0,0.0
2013-06-08 02,0,0.0
2013-06-08 03,0,0.0
2013-06-08 04,0,0.0
2013-06-08 05,0,0.0
2013-06-08 06,0,0.0
2013-06-08 07,2,2.0
2013-06-08 08,1,2.0
2013-06-08 09,10,7.0
2013-06-08 10,9,13.0
2013-06-08 11,10,12.0
2013-06-08 12,9,25.0
2013-06-08 13,11,11.0
2013-06-08 14,18,11.0
2013-06-08 15,21,26.0
2013-06-08 16,13,12.0
2013-06-08 17,11,22.0
2013-06-08 18,15,13.0
2013-06-08 19,13,8.0
2013-06-08 20,10,9.0
2013-06-08 21,9,10.0
2013-06-08 22,3,2.0
2013-06-08 23,5,4.0
2013-06-09 00,4,4.0
2013-06-09 01,3,2.0
2013-06-09 02,2,0.0
2013-06-09 03,3,4.0
2013-06-09 04,2,1.0
2013-06-09 05,0,0.0
2013-06-09 06,1,0.0
2013-06-09 07,1,0.0
2013-06-09 08,2,2.0
2013-06-09 09,5,6.0
2013-06-09 10,4,2.0
2013-06-09 11,13,9.0
2013-06-09 12,18,13.0
2013-06-09 13,16,19.0
2013-06-09 14,15,15.0
2013-06-09 15,17,19.0
2013-06-09 16,13,30.0
2013-06-09 17,8,20.0
2013-06-09 18,13,16.0
2013-06-09 19,14,23.0
2013-06-09 20,16,5.0
2013-06-09 21,3,1.0
2013-06-09 22,6,2.0
2013-06-09 23,2,2.0
2013-06-10 00,2,0.0
2013-06-10 01,0,0.0
2013-06-10 02,2,0.0
2013-06-10 03,0,0.0
2013-06-10 04,0,0.0
2013-06-10 05,0,0.0
2013-06-10 06,0,0.0
2013-06-10 07,3,0.0
2013-06-10 08,7,7.0
2013-06-10 09,4,0.0
2013-06-10 10,2,3.0
2013-06-10 11,0,0.0
2013-06-10 12,0,1.0
2013-06-10 13,0,1.0
2013-06-10 14,2,0.0
2013-06-10 15,0,1.0
2013-06-10 16,2,0.0
2013-06-10 17,2,0.0
2013-06-10 18,0,3.0
2013-06-10 19,1,2.0
2013-06-10 20,1,0.0
2013-06-10 21,0,1.0
2013-06-10 22,4,1.0
2013-06-10 23,0,0.0
2013-06-11 00,0,1.0
